date,open,close,high,low,volume,成交额,均价,ma50,ma200
2026-01-14 13:22:00,10.53,10.51,10.53,10.5,2104.0,2211960.0,10.637,10.626600000000002,10.60885
2026-01-14 13:23:00,10.51,10.49,10.5,10.48,1424.0,1494502.0,10.636,10.622,10.6087
2026-01-14 13:24:00,10.49,10.48,10.5,10.47,1619.0,1696907.0,10.636,10.616800000000001,10.608400000000001
2026-01-14 13:25:00,10.48,10.5,10.5,10.48,584.0,612678.0,10.635,10.612400000000001,10.608200000000002
2026-01-14 13:26:00,10.5,10.5,10.52,10.49,2270.0,2385969.0,10.634,10.6078,10.60805
2026-01-14 13:27:00,10.5,10.54,10.54,10.51,3514.0,3699004.0,10.633,10.604000000000001,10.60815
2026-01-14 13:28:00,10.54,10.56,10.56,10.53,2131.0,2247535.0,10.633,10.6006,10.60835
2026-01-14 13:29:00,10.56,10.59,10.59,10.55,1757.0,1857200.0,10.632,10.597999999999999,10.60875
2026-01-14 13:30:00,10.59,10.58,10.59,10.57,2913.0,3082441.0,10.632,10.5954,10.60905
2026-01-14 13:31:00,10.58,10.57,10.59,10.57,1654.0,1750720.0,10.631,10.5926,10.609299999999998
2026-01-14 13:32:00,10.57,10.56,10.58,10.56,2600.0,2749279.0,10.631,10.59,10.609499999999999
2026-01-14 13:33:00,10.56,10.57,10.59,10.56,2977.0,3148919.0,10.63,10.5876,10.609749999999998
2026-01-14 13:34:00,10.57,10.61,10.61,10.59,1563.0,1655866.0,10.63,10.585799999999999,10.610199999999999
2026-01-14 13:35:00,10.61,10.59,10.63,10.59,4303.0,4566812.0,10.63,10.583799999999998,10.6106
2026-01-14 13:36:00,10.59,10.58,10.59,10.57,1734.0,1833945.0,10.63,10.581800000000001,10.61095
2026-01-14 13:37:00,10.58,10.58,10.59,10.58,554.0,586123.0,10.63,10.5798,10.61115
2026-01-14 13:38:00,10.58,10.57,10.59,10.57,918.0,970987.0,10.63,10.5776,10.61135
2026-01-14 13:39:00,10.57,10.58,10.58,10.56,995.0,1051773.0,10.629,10.5756,10.611600000000001
2026-01-14 13:40:00,10.58,10.61,10.62,10.59,2703.0,2865251.0,10.629,10.574199999999998,10.611849999999999
2026-01-14 13:41:00,10.61,10.61,10.61,10.6,886.0,939687.0,10.629,10.573,10.61215
2026-01-14 13:42:00,10.61,10.62,10.63,10.6,1148.0,1218736.0,10.629,10.572000000000001,10.612549999999999
2026-01-14 13:43:00,10.62,10.62,10.63,10.62,1184.0,1257479.0,10.629,10.5712,10.613000000000001
2026-01-14 13:44:00,10.62,10.6,10.63,10.6,1421.0,1508081.0,10.629,10.57,10.613300000000002
2026-01-14 13:45:00,10.6,10.62,10.63,10.6,606.0,642993.0,10.629,10.569,10.61385
2026-01-14 13:46:00,10.62,10.64,10.64,10.62,886.0,942291.0,10.629,10.568399999999999,10.614700000000001
2026-01-14 13:47:00,10.64,10.63,10.65,10.63,908.0,965971.0,10.629,10.5676,10.61555
2026-01-14 13:48:00,10.63,10.65,10.65,10.63,1375.0,1463332.0,10.629,10.5672,10.61655
2026-01-14 13:49:00,10.65,10.64,10.65,10.64,1138.0,1211197.0,10.629,10.5666,10.617449999999998
2026-01-14 13:50:00,10.64,10.61,10.63,10.61,373.0,396144.0,10.629,10.565199999999999,10.61815
2026-01-14 13:51:00,10.61,10.6,10.62,10.6,796.0,844554.0,10.629,10.563799999999999,10.618699999999999
2026-01-14 13:52:00,10.6,10.62,10.63,10.6,1879.0,1993686.0,10.629,10.564400000000001,10.6194
2026-01-14 13:53:00,10.62,10.62,10.63,10.61,452.0,479898.0,10.629,10.565199999999999,10.6201
2026-01-14 13:54:00,10.62,10.6,10.62,10.6,822.0,871882.0,10.629,10.566200000000002,10.620650000000001
2026-01-14 13:55:00,10.6,10.59,10.61,10.59,582.0,616913.0,10.629,10.566199999999998,10.621199999999998
2026-01-14 13:56:00,10.59,10.57,10.61,10.56,1962.0,2077315.0,10.628,10.565999999999999,10.621649999999999
2026-01-14 13:57:00,10.57,10.57,10.57,10.56,1090.0,1151491.0,10.628,10.566200000000002,10.6221
2026-01-14 13:58:00,10.57,10.54,10.56,10.53,2079.0,2193159.0,10.628,10.566400000000002,10.6224
2026-01-14 13:59:00,10.54,10.52,10.54,10.52,1789.0,1884688.0,10.627,10.565999999999999,10.62255
2026-01-14 14:00:00,10.52,10.52,10.53,10.51,1141.0,1199843.0,10.627,10.5656,10.622750000000002
2026-01-14 14:01:00,10.52,10.5,10.52,10.49,1996.0,2096939.0,10.626,10.5646,10.6229
2026-01-14 14:02:00,10.5,10.52,10.52,10.49,2608.0,2735660.0,10.625,10.563999999999998,10.62315
2026-01-14 14:03:00,10.52,10.52,10.53,10.5,4768.0,5010862.0,10.624,10.563600000000001,10.62335
2026-01-14 14:04:00,10.52,10.53,10.53,10.52,799.0,841133.0,10.624,10.563600000000001,10.62365
2026-01-14 14:05:00,10.53,10.52,10.53,10.52,1884.0,1982300.0,10.623,10.564,10.62385
2026-01-14 14:06:00,10.52,10.51,10.53,10.5,1324.0,1391037.0,10.623,10.5646,10.6241
2026-01-14 14:07:00,10.51,10.49,10.51,10.49,904.0,948623.0,10.622,10.564400000000001,10.62425
2026-01-14 14:08:00,10.49,10.47,10.49,10.47,1941.0,2034886.0,10.622,10.5638,10.6243
2026-01-14 14:09:00,10.47,10.5,10.51,10.48,1256.0,1317696.0,10.621,10.563400000000001,10.62445
2026-01-14 14:10:00,10.5,10.51,10.51,10.49,635.0,667049.0,10.621,10.5632,10.624649999999999
2026-01-14 14:11:00,10.51,10.54,10.54,10.51,1305.0,1373289.0,10.621,10.5634,10.625050000000002
2026-01-14 14:12:00,10.54,10.57,10.57,10.54,833.0,878996.0,10.62,10.5646,10.625499999999999
2026-01-14 14:13:00,10.57,10.57,10.58,10.56,949.0,1002848.0,10.62,10.566199999999998,10.62595
2026-01-14 14:14:00,10.57,10.56,10.57,10.55,896.0,946267.0,10.62,10.5678,10.6263
2026-01-14 14:15:00,10.56,10.55,10.57,10.55,510.0,538376.0,10.62,10.5688,10.626600000000002
2026-01-14 14:16:00,10.55,10.55,10.56,10.55,678.0,715568.0,10.62,10.5698,10.626949999999999
2026-01-14 14:17:00,10.55,10.54,10.55,10.54,170.0,179343.0,10.62,10.5698,10.627249999999998
2026-01-14 14:18:00,10.54,10.55,10.56,10.54,800.0,844031.0,10.62,10.569600000000001,10.6276
2026-01-14 14:19:00,10.55,10.53,10.55,10.53,1477.0,1557179.0,10.619,10.568399999999999,10.627749999999999
2026-01-14 14:20:00,10.53,10.54,10.54,10.53,1075.0,1132353.0,10.619,10.5676,10.627699999999999
2026-01-14 14:21:00,10.54,10.52,10.53,10.52,538.0,566119.0,10.619,10.566600000000001,10.62735
2026-01-14 14:22:00,10.52,10.53,10.53,10.52,346.0,364095.0,10.619,10.565999999999999,10.626900000000001
2026-01-14 14:23:00,10.53,10.52,10.53,10.52,514.0,540752.0,10.619,10.565,10.62685
2026-01-14 14:24:00,10.52,10.53,10.53,10.51,960.0,1010307.0,10.619,10.563400000000001,10.626850000000001
2026-01-14 14:25:00,10.53,10.54,10.54,10.53,376.0,395974.0,10.619,10.5624,10.6271
2026-01-14 14:26:00,10.54,10.57,10.57,10.54,1710.0,1803750.0,10.618,10.562199999999997,10.6274
2026-01-14 14:27:00,10.57,10.56,10.57,10.55,1358.0,1434153.0,10.618,10.5618,10.627299999999998
2026-01-14 14:28:00,10.56,10.57,10.57,10.55,1406.0,1485196.0,10.618,10.561799999999998,10.6273
2026-01-14 14:29:00,10.57,10.57,10.57,10.56,861.0,910052.0,10.618,10.5616,10.627450000000001
